wake,estimatedSleep,coffee,actualSleep
18000,8.25,5,34140
31500,9.5,3,37130
18000,10,7,42350
7200,6.5,4,27023
31500,9.25,4,37268
32400,5.75,1,21985
25200,5,3,20764
22500,8,1,30048
26100,8.25,3,32631
32400,9,1,33679
19800,6.5,1,24668
31500,5,1,19324
33300,6,3,24635
35100,6.25,1,23822
30600,7.75,9,35271
21600,7,1,26515
33300,9,3,35284
18000,9.75,1,36444
20700,6.75,2,26430
32400,8.75,2,33678
22500,8,1,30132
22500,9.5,3,37044
35100,8,8,35966
27900,6.5,9,31172
34200,5.25,3,21757
26100,9.5,3,37100
76500,6,5,26231
27900,7.75,1,29209
27000,5.75,9,29094
33300,9,7,38245
27900,5.25,2,21078
19800,5.25,1,20231
18900,7,2,27282
5400,6,3,24560
30600,7.5,4,30739
18000,10,10,45203
29700,8.75,1,32888
33300,6,3,24735
35100,6,1,22866
18000,5,2,20118
24300,8.25,1,30969
34200,9,3,35192
35100,9.25,1,34628
42300,9.5,1,35487
27900,5.5,1,21068
26100,6,2,23606
22500,7.25,3,28869
20700,7.75,3,31007
27900,7,6,30352
31500,7.75,1,29174
22500,7.25,1,27451
32400,7.25,8,33200
45000,5.5,9,28391
27000,9.75,2,37208
76500,5.5,3,22701
32400,9.5,1,35450
32400,6,4,25198
27900,9,1,33752
29700,5.75,1,21975
20700,7.5,9,35084
25200,9.5,6,39901
27000,8,8,36410
9900,5.25,1,20204
27000,6.75,9,32816
27000,7.25,1,27457
19800,9.5,2,36384
25200,6.25,3,25584
27000,10,2,38223
28800,6.25,1,23836
9000,9.5,3,37353
54900,6,9,28946
28800,8.25,8,37170
56700,7.25,4,29795
31500,9.75,2,37271
34200,5,1,19291
30600,7.25,8,33327
31500,7,3,28384
31500,10,5,40474
33300,5.75,2,22777
33300,8,1,30100
18900,8.25,2,31774
30600,9.25,1,34574
82800,8,9,37388
18900,10,1,37263
76500,8.75,4,35495
54000,6.25,2,24582
26100,5,7,23951
13500,9.5,1,35588
31500,7,1,26446
53100,6.75,1,25658
23400,10,1,37261
29700,9.25,4,37251
29700,10,3,39006
31500,6.25,1,23792
14400,6.25,1,23834
25200,5.75,2,22692
30600,8.25,2,31828
18900,7.75,2,30174
27900,7.25,1,27387
63900,5,7,24349
26100,7.5,3,30164
21600,5.75,6,26160
34200,6.75,1,25626
26100,8,1,30120
23400,9.5,1,35515
27000,5.5,2,21940
28800,9.75,3,38230
46800,9.25,6,39143
18900,5.75,7,27420
28800,6,3,24395
39600,6.5,3,26442
23400,6,5,26479
31500,6.5,7,30069
20700,9,1,33697
19800,5.25,7,25181
21600,5.25,2,20945
21600,5.5,3,22864
33300,5.5,7,26597
30600,7.25,1,27460
24300,7.25,3,29146
26100,7,5,30044
25200,9.25,1,34563
19800,7.5,1,28370
21600,8.5,7,37047
25200,9.75,8,42708
35100,9,1,33744
33300,9,1,33771
27000,7.75,2,30164
35100,5.25,2,21054
57600,7.25,1,27318
21600,5.75,1,22004
38700,5.5,3,22793
20700,9.75,4,39017
28800,7.5,1,28251
32400,9.75,1,36437
16200,7.5,1,28238
23400,9.5,1,35547
31500,9.75,9,42458
18000,5.25,3,21952
35100,6.75,2,26552
19800,7.75,10,36012
24300,10,3,39164
28800,9.75,1,36346
32400,5.25,1,20225
34200,7.25,1,27394
35100,6.5,1,24746
26100,8.5,3,33391
900,5.75,8,27344
27000,7,7,31270
25200,8.75,10,40004
35100,6,4,25130
27000,6.5,1,24704
25200,6,8,29139
27900,5,9,26166
34200,5.25,1,20276
25200,6.75,3,27345
28800,6,3,24405
32400,7,3,28235
24300,6.25,1,23751
31500,9.75,9,42448
18900,6.5,8,30271
32400,6.25,3,25540
30600,8,3,31660
27000,5,6,23051
18000,6,3,24346
29700,9.25,2,35455
27000,6.5,2,25402
81900,5.25,1,20189
30600,8.5,2,32697
21600,10,2,38133
20700,8.5,4,34498
34200,7.75,1,29259
21600,5.25,9,27252
28800,10,3,38835
24300,6.5,7,30097
34200,7.75,1,29164
25200,5.5,3,22837
21600,6.5,5,27984
18900,8.75,1,32751
22500,8.75,1,32821
9900,7.5,4,30866
25200,6.75,1,25680
23400,6.75,8,31266
19800,9.75,2,37139
20700,5.25,1,20270
23400,10,8,42601
30600,8.5,8,37863
21600,9,1,33682
26100,5.5,3,22951
19800,5,3,21043
64800,8.25,1,31018
54900,5.75,3,23850
21600,8.5,3,33682
30600,7.25,2,28351
26100,5.5,1,21118
32400,5.5,3,22567
34200,5.5,3,22663
26100,8.5,2,32775
30600,7.75,1,29170
18000,9.25,4,37064
21600,8.25,2,31970
25200,7.25,7,32603
18900,8.75,3,34615
26100,5.5,1,21037
23400,9,1,33684
27000,7.5,3,29822
34200,7,1,26425
34200,5.25,8,25758
35100,9.75,3,38283
31500,9,9,40586
27900,5.75,1,22070
32400,7.25,2,28276
28800,6,2,23691
22500,8.75,1,32790
29700,9.25,2,35552
20700,8.25,8,36933
20700,8,1,30064
27900,6.5,9,31069
28800,5,2,20130
25200,7,3,28040
27000,5.5,3,22603
27000,9.75,4,39075
32400,7.5,1,28255
31500,9.5,1,35548
32400,7.25,8,32927
26100,7.75,2,30151
83700,8,8,35658
54900,6.75,3,27288
18000,7,1,26549
23400,5.5,1,21089
23400,9,1,33734
20700,7.75,1,29142
23400,5.25,1,20119
27000,6.5,1,24739
33300,8.75,3,34484
34200,6.5,2,25439
28800,9.25,1,34663
34200,7,3,27987
50400,10,2,38262
19800,8,9,36738
21600,8.5,4,34292
32400,5.25,1,20145
30600,8.25,2,31881
23400,6.25,1,23733
35100,5.25,10,27657
18000,5.75,1,22014
25200,5.75,2,22761
21600,5,8,24582
34200,8.75,5,36236
23400,5.25,1,20144
30600,6.5,4,27186
28800,7.25,1,27379
19800,8.5,1,31878
27900,9.5,1,35454
33300,6,4,25365
23400,6.75,3,27243
18000,8.5,4,34586
28800,8,2,30845
22500,9.25,9,40647
31500,6.75,3,27375
32400,8,1,30200
29700,10,2,38199
65700,9,6,37947
21600,5.75,5,25205
20700,8.75,2,33772
20700,5.25,1,20264
34200,9,1,33637
23400,9.25,1,34664
25200,7,3,28039
27000,6.75,3,27115
33300,7,9,33550
27000,8.5,1,31953
27000,5,2,20200
19800,5,1,19322
29700,9.5,4,37795
19800,9,1,33745
22500,8.25,5,34061
34200,10,9,44022
74700,5.5,5,24168
18000,6.5,1,24674
73800,6,2,23835
19800,8.5,1,31891
34200,6.25,2,24652
24300,8.25,1,30981
7200,9.5,9,41969
22500,7.75,1,29175
24300,8.75,1,32747
55800,6.75,8,31120
34200,7,2,27263
21600,5.75,2,22929
29700,5.5,3,22997
20700,6,1,22839
42300,8.25,2,31858
20700,6.5,3,26499
34200,9,7,39009
20700,7.5,1,28353
26100,8,1,30066
25200,5.25,3,21878
30600,6.25,1,23785
30600,5.75,2,22866
27900,9.75,1,36382
31500,7,3,28098
35100,5.25,2,21151
34200,5.5,5,24555
18000,6.25,4,26043
18000,5.75,3,23465
27900,8,6,34559
34200,6.75,3,27406
27900,8.5,3,33714
24300,8.75,2,33546
29700,9.25,3,36201
25200,9,10,41438
22500,7,3,28334
26100,5.25,1,20245
31500,5,3,20969
26100,9.75,1,36394
18900,7.5,4,30699
24300,5,9,25359
20700,10,1,37360
26100,9.75,9,42884
24300,7,1,26551
22500,9,2,34555
18900,5.5,1,21071
30600,8,4,32770
27000,5.5,3,22546
23400,9,1,33774
24300,5.5,3,22580
18900,7.25,1,27371
26100,5,2,20217
34200,10,8,43542
28800,6,3,24687
35100,5.25,1,20252
33300,10,4,39517
31500,9.25,1,34653
77400,5,3,20860
18000,10,3,38824
35100,5.75,5,25559
32400,9.5,9,42687
24300,7.5,2,29011
35100,5,1,19247
20700,9.25,10,42507
16200,6.75,10,32792
35100,9,1,33742
35100,5.5,2,21990
31500,9.5,1,35555
27900,5.25,1,20126
62100,5.25,2,20939
20700,5.5,4,23579
34200,6,2,23834
18000,9.25,6,39135
29700,5.75,1,21985
19800,10,1,37337
20700,7.25,2,28390
24300,5.5,2,21911
54900,8.5,3,33735
18000,5.25,1,20211
20700,9,1,33674
29700,5.5,2,21955
54900,9.25,2,35470
30600,8,6,34559
23400,5.25,6,24033
18000,9.25,1,34586
32400,7,6,31034
27000,9.75,3,37928
14400,9.75,3,37939
18900,7.5,3,29782
21600,9.25,4,36995
27000,5,1,19313
20700,5.5,2,21791
28800,9,4,36076
20700,6.5,1,24683
24300,8.5,1,31883
25200,5.25,1,20187
29700,7.25,4,29718
25200,5,2,20094
61200,6.5,10,31881
45000,8.75,1,32761
24300,7,1,26509
30600,6.5,10,31532
33300,5.25,1,20256
24300,6.5,6,28535
18000,6,3,24590
48600,7.25,7,32204
28800,7,1,26542
31500,5.5,1,21124
19800,9.25,1,34615
45900,8,6,34512
9900,7.25,2,28337
30600,5,9,25512
28800,6.25,1,23811
18000,9.25,1,34605
28800,7,1,26554
25200,9.25,2,35475
24300,7.5,6,32771
18000,5.5,2,22034
31500,9.75,1,36343
26100,9.5,4,37946
19800,6,6,27244
20700,9,8,39187
28800,7,9,33598
31500,5.25,5,23237
25200,5.5,3,22878
25200,5,10,26926
27000,5.5,2,22050
62100,7.75,4,31842
83700,5.5,1,21043
28800,8,3,31617
28800,8,1,30030
33300,9.25,1,34613
77400,9,2,34565
18900,8.5,1,31963
43200,7.75,1,29195
26100,9,1,33733
31500,5.5,3,22820
34200,7.5,2,29293
26100,5.5,4,23615
33300,6,1,22833
29700,7.5,1,28269
35100,7.25,1,27441
32400,8.25,8,36521
25200,8,7,35086
22500,8.25,2,31752
30600,6.75,8,31277
17100,10,6,41814
64800,8.25,7,35966
27900,6.25,1,23811
34200,6.75,1,25569
31500,8.25,3,32602
33300,5,2,20242
27900,7.25,1,27401
23400,7.5,1,28351
30600,9,1,33670
81900,5,1,19293
20700,7.75,1,29236
25200,7.25,3,28930
27000,9,1,33704
33300,7.5,2,29259
67500,5.5,3,22740
26100,8.5,2,32671
19800,9.25,2,35448
25200,6.5,2,25678
35100,5,4,21865
33300,9.5,7,40472
35100,6.5,3,26249
56700,5.5,2,21856
22500,6,9,28938
18000,8.75,9,39272
34200,9.5,1,35535
22500,6.25,5,27040
27000,8,10,37274
26100,10,1,37299
31500,8.5,9,39100
24300,8.75,1,32839
34200,8.25,3,32590
33300,5.5,2,22056
27900,9.5,3,37146
23400,9.75,2,37318
27900,5,1,19343
34200,9.75,3,38203
18000,5,4,21592
54000,6,1,22949
20700,9,1,33702
28800,5.75,5,25619
27900,7.5,3,29901
22500,9.5,3,37211
35100,9,10,41320
22500,5.5,1,21054
32400,9.25,2,35397
45900,10,5,40977
25200,9,1,33763
18900,10,6,41372
18000,8,1,30037
35100,7.75,1,29257
34200,7.5,1,28333
26100,6.5,1,24670
22500,8,4,32754
45900,9,1,33650
24300,9.75,2,37106
27000,7.75,1,29169
61200,5.75,3,23491
18000,7.25,1,27437
19800,5.75,4,24509
59400,8.5,1,31952
26100,8.75,1,32794
76500,8.5,3,33498
32400,8.75,1,32788
29700,5.5,10,27905
33300,5.25,10,27639
9900,5.5,2,21909
27900,6.75,3,27360
28800,9.25,1,34649
34200,9.5,1,35510
27900,6.5,2,25407
54000,9.5,1,35533
21600,8,1,30110
32400,7.25,1,27431
20700,6.5,2,25567
25200,8.5,2,32610
24300,7.25,1,27376
8100,7.5,4,31046
35100,5.75,1,21941
18900,9.75,3,38111
67500,8.75,3,34446
23400,10,10,45211
25200,7.25,4,30053
29700,6.75,3,27045
33300,6.5,9,30984
32400,7,5,30111
33300,8.25,2,31688
31500,6.25,1,23813
29700,9.5,2,36226
27000,9,1,33699
25200,7.5,1,28348
35100,8.75,1,32806
23400,5.5,3,22705
34200,6,3,24774
32400,5.25,3,21939
32400,5.25,1,20151
22500,9.25,3,36067
26100,6.75,7,30658
21600,6.75,5,29238
28800,8.5,1,31929
26100,9.5,2,36429
39600,6.25,4,26016
27900,5.75,3,23588
30600,8,1,30090
46800,5,1,19346
28800,6,2,23791
32400,6.75,5,28899
78300,5.5,1,21127
20700,7,10,34116
18000,7.75,2,30131
28800,7,1,26581
53100,6.5,1,24664
33300,6,7,27863
18900,9,1,33736
29700,9,7,38611
18900,5.75,1,21999
30600,7.25,4,29949
23400,10,3,39178
29700,5,2,20197
27900,7.5,3,29811
18900,7.25,2,28173
27000,7,1,26522
18900,10,3,38972
30600,5,3,21025
34200,8,7,35522
78300,8.75,1,32853
27900,5.5,9,27137
29700,5.5,2,21931
27900,8.5,2,32815
24300,7.25,2,28200
32400,9.25,9,41556
22500,7.5,1,28256
28800,9.5,1,35521
72900,5.5,3,22614
26100,9.5,1,35468
51300,7.5,1,28280
25200,7.75,3,31029
18000,7,7,31959
31500,8.5,1,31908
20700,7.25,3,28954
27900,7.25,1,27383
15300,5,6,23669
46800,5.75,1,22021
34200,8,1,30080
27900,8.75,1,32893
34200,7,1,26534
22500,6.5,3,26527
58500,6.25,3,25645
16200,8.5,3,33549
35100,9.75,9,42603
19800,9,2,34410
23400,5.5,3,22753
22500,10,1,37306
25200,9.75,1,36448
27000,9.75,1,36340
34200,9.75,4,38713
30600,6,4,25558
30600,7.5,6,32233
18900,5.5,1,21045
23400,7.75,5,32369
34200,9.75,3,37912
30600,9.5,2,36278
3600,8.75,1,32834
8100,8.5,3,33596
18900,6.25,2,24762
73800,9.5,4,37882
23400,9.5,9,42035
53100,8.75,6,36689
27000,6.75,1,25646
23400,8,1,30058
22500,6.75,9,31733
51300,10,2,38166
25200,8.25,1,30995
32400,8.5,3,33651
24300,9,1,33672
18000,8,1,30145
26100,9.5,1,35559
27900,10,2,38212
29700,8.5,1,31978
28800,5.25,4,22939
29700,5,4,21539
27900,8.25,1,30966
26100,9.5,3,37113
22500,8.75,1,32787
74700,6.25,10,31790
28800,5.25,3,21883
79200,7,1,26555
32400,5.5,2,21941
20700,5.25,1,20167
33300,5.75,7,26806
22500,8,6,34498
34200,9.75,2,37225
14400,7.25,10,34571
20700,7.75,1,29173
21600,7,1,26480
23400,9.5,6,39570
35100,10,8,43407
24300,8.25,1,31063
32400,9.5,1,35472
56700,5.75,1,21938
50400,5,1,19366
40500,6.25,4,26190
24300,7.25,1,27357
25200,8,1,30184
20700,8.25,2,31867
24300,8.75,2,33648
30600,5.5,9,27956
29700,5,6,23389
24300,5,1,19306
21600,10,4,39991
7200,5.25,4,22931
19800,7,2,27323
58500,6.5,1,24764
29700,5.25,1,20183
19800,8.25,1,31044
25200,7,1,26469
35100,8.5,1,31817
16200,9.75,2,37214
27900,7.75,1,29269
32400,5,4,21836
34200,8,1,30030
26100,8.25,2,31838
25200,6.5,2,25667
31500,9.25,3,36310
24300,6.75,1,25648
20700,6.5,7,29343
32400,7.5,1,28314
18900,7,2,27196
34200,5,1,19326
34200,9,1,33743
29700,9.5,1,35445
84600,9.5,1,35516
35100,6.75,1,25672
27900,6.75,3,27242
20700,8.5,2,32694
24300,9.25,1,34647
23400,5,9,26015
27900,6,1,22958
22500,6.25,4,26512
6300,8,10,37096
23400,9.5,3,37370
18900,5.5,10,28200
24300,8.75,2,33774
31500,7.5,3,30108
27900,8,1,30136
35100,8,4,32626
26100,7.25,1,27486
45000,6.25,2,24605
75600,9.5,8,41444
18900,9.75,1,36466
30600,6.75,5,28583
25200,9.25,1,34586
32400,9,1,33732
31500,5.25,3,21788
28800,5.5,3,22739
23400,5.75,4,24544
20700,5.5,8,27330
35100,6.5,10,32060
30600,9.5,1,35519
34200,10,3,39103
22500,6.25,1,23834
24300,9.5,3,37346
83700,9.5,4,38185
28800,6.25,3,25534
48600,7.25,3,29260
46800,6.5,4,27035
27900,5.75,3,23839
35100,5.5,9,28150
30600,6.75,8,31376
27000,6.75,1,25685
24300,8.75,1,32734
78300,6.25,3,25280
18900,5.75,3,23838
27900,10,9,43919
23400,6.25,3,25336
26100,6.25,10,31357
27000,7.75,6,33240
20700,5.25,3,21715
27000,5.5,6,25552
2700,9.5,3,37082
31500,5.5,6,25094
30600,9.75,4,38701
33300,5.75,3,23725
30600,5.75,1,21994
27900,8.25,1,31078
28800,9.75,1,36387
41400,6,1,22976
23400,8,1,30118
76500,5.75,1,22002
27900,5,8,25110
26100,8.25,1,30962
25200,9.75,3,37959
18900,6.25,4,26347
27900,9.5,4,38238
20700,8.25,1,31067
20700,6,2,23861
18900,7.5,5,31697
18000,8.75,2,33734
18900,6.25,5,27402
30600,7.25,4,29943
34200,8.25,1,30961
31500,7.75,10,37262
72000,7,1,26431
28800,10,1,37225
20700,8.5,1,31898
18900,6.5,3,26153
19800,5.75,4,24499
19800,6,7,27932
28800,9.75,10,44596
27000,8.25,1,31044
19800,7.75,1,29163
27000,7.25,1,27426
33300,8,4,32509
21600,8.75,4,35299
45900,7.75,2,30032
28800,9,3,35379
24300,9.75,1,36392
29700,9.5,10,42431
30600,9.5,1,35469
29700,9.25,2,35414
22500,5.25,4,22594
31500,8,1,30083
24300,9.25,2,35534
19800,7.75,3,30947
26100,6.5,4,27166
20700,5.25,4,22710
24300,10,2,38194
18000,9.25,2,35484
82800,5.5,6,25304
33300,6,3,24546
34200,6,1,22886
25200,5.75,1,22022
900,6.25,2,24754
21600,5.25,1,20172
33300,6,8,29043
29700,9.25,4,36927
18000,8.75,2,33725
32400,6,8,28470
20700,6.25,7,28355
32400,7.5,3,29988
29700,5.75,2,22742
19800,6.75,6,30159
26100,9,1,33705
29700,9,1,33665
21600,8.5,3,33548
19800,8.75,1,32813
18000,8.5,2,32631
33300,5.5,2,21974
19800,8.75,1,32830
35100,5,1,19270
21600,8.75,1,32853
19800,9,4,36276
25200,9.75,9,42687
22500,8,1,30187
32400,9,3,35317
32400,5.25,4,22481
34200,8.5,1,31853
24300,8,3,31575
20700,5.5,1,21155
26100,8.25,5,34175
23400,6,2,23761
59400,10,2,38118
31500,8.75,1,32736
25200,8.25,1,30951
28800,7.25,10,35553
31500,7.5,2,29058
18000,6.75,1,25581
20700,6.25,2,24704
0,8,6,33889
68400,9.5,1,35573
31500,5,5,22468
45900,7.5,1,28348
27900,6,6,26685
18900,9.5,1,35453
35100,7,3,27988
19800,7.75,1,29170
23400,5,2,20238
25200,6,8,29258
82800,7.5,9,34540
35100,8.75,10,40190
22500,8.25,2,31783
34200,9,10,40624
20700,7.25,8,32987
28800,7.75,1,29117
27900,7.5,1,28264
29700,8,1,30124
24300,6.5,2,25596
18000,10,9,43667
40500,7.75,3,30901
38700,5.5,9,27909
29700,8.25,3,32512
26100,8.75,3,34568
64800,6.75,2,26525
3600,5.5,2,21848
32400,10,2,38054
24300,7.25,3,29018
29700,5.75,2,22951
20700,5,1,19309
18900,6.75,10,32600
22500,8,7,35216
32400,5.5,6,25646
25200,6.25,2,24728
30600,6.75,1,25574
24300,6,2,23713
22500,8,3,31790
20700,6.75,1,25564
33300,5.25,4,22489
33300,6.5,1,24648
20700,7.5,3,29834
22500,7.75,8,34508
27900,6,10,30630
32400,5.5,1,21183
21600,7.5,5,31653
21600,8.5,3,33525
21600,8.75,3,34565
31500,6.75,7,30483
21600,7.75,3,31065
9900,7.5,1,28363
21600,9,1,33655
27000,7.5,1,28329
25200,6.5,3,26533
4500,6.75,9,32533
25200,9,5,37055
22500,8.75,10,40050
35100,7,3,28061
41400,6.5,1,24716
19800,7.5,2,29083
12600,8.25,3,32571
27900,9.25,8,40520
34200,7.5,2,29119
21600,7.75,8,35576
27000,5.5,2,21843
22500,8.5,2,32580
19800,7.25,2,28188
24300,5.75,1,22012
31500,5.25,1,20228
23400,6.25,1,23867
78300,6.5,3,26426
27900,5,2,20059
21600,9.75,2,37189
26100,6.5,2,25515
21600,5,2,20148
23400,8.75,8,38478
27000,7.5,1,28338
19800,8.25,2,31708
28800,9.5,1,35487
21600,7.5,6,32149
19800,6.5,3,26393
27900,9.5,6,39944
48600,6,1,22844
30600,7.25,1,27415
25200,5,1,19235
29700,8.5,10,39907
27000,9.75,1,36397
47700,9.25,2,35558
29700,5.75,2,22818
24300,9.5,4,38227
33300,6,2,23759
13500,7.25,3,29236
20700,9.5,1,35557
20700,5.5,1,21047
1800,8.5,8,37751
30600,8.25,2,31878
24300,6.75,7,30970
18900,8,7,34968
18900,6.25,9,30273
30600,5.25,1,20191
18900,7.5,3,30007
18900,6.75,9,31969
85500,7.75,2,29992
31500,8,1,30115
34200,5.5,1,21109
25200,7.25,6,31655
18900,5.5,10,28269
81900,7.25,1,27438
29700,10,5,40597
19800,7,6,30326
33300,7.75,1,29210
33300,9.25,3,36094
18900,6.75,1,25651
32400,7.25,7,32661
80100,6.5,8,30861
25200,7.75,1,29153
82800,5.5,1,21178
33300,9.5,7,40320
30600,6,1,22854
27900,8.5,1,31935
34200,9.75,4,38653
24300,9,1,33726
32400,7.25,1,27386
33300,8.75,4,35127
53100,8.25,3,32509
33300,5.25,7,25168
18900,7.25,3,29064
29700,6.75,1,25596
35100,8,10,37753
35100,6.75,8,31535
81000,9.75,7,41667
21600,9,1,33715
31500,9,4,36311
28800,5.5,7,25879
35100,9.25,4,37379
18000,8.75,1,32784
19800,8.5,5,35048
33300,10,1,37315
30600,5,7,24441
28800,9,4,36069
14400,9.75,5,39552
19800,6.25,1,23807
26100,6.25,1,23741
55800,6.75,3,27176
35100,5.75,1,21975
33300,9,9,40431
18900,5.5,8,26448
64800,5,8,25600
26100,10,1,37287
26100,9.25,6,38626
22500,5.25,1,20269
18900,8.25,2,31773
26100,9,1,33631
20700,5.5,3,22744
72900,5.75,4,24375
28800,9.5,4,37900
17100,8.25,1,30988
20700,8.25,1,30945
29700,10,2,38285
19800,6.25,1,23755
31500,5.75,3,23647
19800,10,9,43701
64800,9,4,36036
20700,9,1,33657
45900,5.25,2,20884
27900,9.5,2,36322
31500,5.75,7,26660
40500,6.5,3,26487
54000,7.5,4,31060
22500,8.25,2,31717
34200,9.75,6,40762
30600,7,2,27202
65700,9.5,3,37007
32400,6.75,4,28189
32400,8.25,3,32805
29700,8.75,10,40713
18000,5.25,3,21937
20700,5,1,19318
20700,8.75,1,32885
19800,9,7,39200
34200,8.75,7,38027
23400,5.5,2,22045
22500,7.25,7,32648
18900,8,10,37826
34200,5.5,3,22566
32400,5,4,21981
13500,6.75,4,28269
66600,5.25,1,20276
3600,7,1,26551
31500,8,3,31901
34200,5.5,10,28540
26100,9.25,10,41776
32400,5.5,9,27461
30600,5.75,1,22024
21600,9,3,35543
27900,7,5,30034
21600,7.75,3,30762
33300,7.75,1,29233
49500,6.75,1,25663
18900,8,9,36222
27000,9.5,3,37119
30600,5,4,21987
18000,5.5,2,22007
55800,7,2,27309
26100,6.5,9,31828
22500,10,3,39139
26100,5.25,3,21817
61200,9.5,1,35561
19800,6.5,1,24725
34200,9.5,4,37973
20700,5.5,3,22636
29700,5.25,1,20280
32400,9.5,2,36376
27000,5.75,2,22761
19800,6.5,3,26546
21600,9.5,7,40304
30600,9.25,6,38666
31500,7.5,1,28368
15300,5,2,20006
31500,6.75,3,27127
18000,9,1,33739
81900,7.25,1,27415
28800,5.25,1,20168
18900,9.25,1,34595
22500,6.5,3,26438
18000,10,10,44779
29700,7.75,4,31453
21600,5.75,3,23512
27000,9.75,8,42345
18900,5.75,1,21990
32400,9,4,36277
28800,9,2,34677
34200,5.75,4,24237
27000,5.25,1,20163
27000,5,10,26869
33300,5.5,5,24324
26100,8.25,1,30946
31500,5.25,2,21127
31500,9.5,1,35557
25200,7,2,27316
22500,9.25,5,37909
20700,7.75,1,29211
30600,6.25,8,29877
28800,7.5,1,28307
72000,7,1,26454
20700,6,1,22959
19800,8,1,30163
74700,7.25,4,29689
32400,6.25,2,24646
29700,8.5,10,39270
28800,7,2,27316
67500,5,1,19330
72000,8.5,8,37172
27900,6.75,1,25621
25200,8.75,9,39848
20700,8,1,30184
35100,9.75,7,41359
37800,5.75,1,22097
24300,7.5,1,28262
28800,6.5,3,26400
31500,9.5,2,36352
18900,5.25,2,21140
72900,7.5,1,28381
29700,9.5,1,35563
26100,5.75,2,22907
27900,8.75,3,34556
25200,8.5,2,32718
24300,8.5,3,33624
23400,5,4,22072
35100,9,10,41314
20700,9,8,39940
34200,5.5,5,24230
29700,8,5,33156
24300,5.75,6,25775
77400,6.5,2,25665
34200,5,1,19302
35100,8,3,31701
23400,6.25,3,25311
